order_id,region,order_date,amount,delivery_status
ORD1050,Vizag,2026-06-29,4642,Delayed
ORD1051,HYD,2026-06-20,3445,Cancelled
ORD1052,banglore,2026-08-04,1081,Cancelled
ORD1053,Bengaluru,2026-08-19,2878,Cancelled
ORD1054,Hyderabad,2026-07-03,1870,Cancelled
ORD1055,HYD,2026-06-27,3878,Delivered
ORD1056,Hyderabad,2026-08-04,4747,Delayed
ORD1057,hyd,2026-06-10,3066,Cancelled
ORD1058,Hyderabad,2026-08-09,4089,Delayed
ORD1059,Bengaluru,2026-07-15,2917,Cancelled
ORD1060,Vijayawada,2026-08-23,3204,Delayed
ORD1061,hyd,2026-06-14,4754,Cancelled
ORD1062,banglore,2026-08-07,427,Delivered
ORD1063,Vizag,2026-08-16,3687,Delivered
ORD1064,Hyderabad,2026-06-16,357,Delayed
ORD1065,Vijayawada,2026-07-23,4457,Delayed
ORD1066,Bengaluru,2026-08-15,3883,Delayed
ORD1067,Vijayawada,2026-08-30,4419,Delivered
ORD1068,Vizag,2026-06-12,496,Delivered
ORD1069,Hyderabad,2026-08-26,2227,Delivered
ORD1070,Vizag,2026-08-30,545,Cancelled
ORD1071,banglore,2026-06-22,4557,Delivered
ORD1072,Vijayawada,2026-08-16,3527,Delivered
ORD1073,Vizag,2026-06-10,224,Cancelled
ORD1074,Vizag,2026-06-26,3776,Delivered
ORD1075,Vizag,2026-07-19,1535,Delayed
ORD1076,HYD,2026-06-20,1052,Delivered
ORD1077,Vijayawada,2026-06-24,610,Delivered
ORD1078,HYD,2026-06-02,4775,Cancelled
ORD1079,banglore,2026-07-02,496,Delayed
ORD1080,Vizag,2026-06-28,4694,Delayed
ORD1081,banglore,2026-08-03,2794,Cancelled
ORD1082,Bengaluru,2026-07-31,736,Cancelled
ORD1083,hyd,2026-08-15,4236,Delivered
ORD1084,Bengaluru,2026-06-08,4463,Cancelled
ORD1085,Hyderabad,2026-07-05,1816,Delivered
ORD1086,Vijayawada,2026-06-20,2187,Cancelled
ORD1087,banglore,2026-06-22,1328,Cancelled
ORD1088,HYD,2026-08-14,3270,Delivered
ORD1089,Hyderabad,2026-07-11,310,Cancelled
ORD1090,Bengaluru,2026-06-01,2367,Cancelled
ORD1091,Hyderabad,2026-08-22,3063,Delivered
ORD1092,Vizag,2026-07-14,3780,Cancelled
ORD1093,banglore,2026-08-06,2130,Delivered
ORD1094,Hyderabad,2026-08-17,1356,Delayed
ORD1095,HYD,2026-08-10,3366,Delivered
ORD1096,HYD,2026-08-04,3325,Cancelled
ORD1097,Vijayawada,2026-08-15,3967,Delayed
ORD1098,Vijayawada,2026-06-06,3623,Cancelled
ORD1099,hyd,2026-08-10,4730,Delayed
ORD1100,banglore,2026-06-18,3899,Cancelled
ORD1101,banglore,2026-06-01,2886,Delivered
ORD1102,Hyderabad,2026-08-03,585,Delayed
ORD1103,hyd,2026-08-08,2852,Cancelled
ORD1104,banglore,2026-06-05,1699,Cancelled
ORD1105,Vizag,2026-08-14,2475,Delayed
ORD1106,HYD,2026-06-23,3783,Delivered
ORD1107,hyd,2026-07-28,1016,Cancelled
ORD1108,Vizag,2026-07-07,1327,Delivered
ORD1109,hyd,2026-08-30,3883,Cancelled
ORD1110,Bengaluru,2026-08-13,4100,Delivered
ORD1111,Vizag,2026-06-02,4002,Delivered
ORD1112,Vijayawada,2026-06-15,1089,Delivered
ORD1113,Hyderabad,2026-08-17,4445,Delayed
ORD1114,HYD,2026-08-15,4906,Cancelled
ORD1115,banglore,2026-06-02,4545,Cancelled
ORD1116,Vizag,2026-07-12,2802,Delivered
ORD1117,Vizag,2026-07-15,2479,Delivered
ORD1118,Hyderabad,2026-06-20,2687,Cancelled
ORD1119,Vizag,2026-08-06,4911,Cancelled
ORD1120,banglore,2026-06-05,237,Delivered
ORD1121,Bengaluru,2026-08-07,1500,Delayed
ORD1122,HYD,2026-06-04,3290,Cancelled
ORD1123,Bengaluru,2026-06-22,3517,Delivered
ORD1124,hyd,2026-08-08,862,Delivered
ORD1125,banglore,2026-07-21,3623,Cancelled
ORD1126,Bengaluru,2026-07-15,3388,Cancelled
ORD1127,Bengaluru,2026-07-25,2614,Cancelled
ORD1128,HYD,2026-08-08,2113,Cancelled
ORD1129,Vizag,2026-08-07,1842,Delayed
ORD1130,Hyderabad,2026-07-06,4494,Delayed
ORD1131,HYD,2026-06-19,4830,Delivered
ORD1132,HYD,2026-08-11,2930,Cancelled
ORD1133,hyd,2026-06-04,3600,Delivered
ORD1134,Hyderabad,2026-08-25,1652,Cancelled
ORD1135,Vijayawada,2026-08-25,2837,Delayed
ORD1136,Bengaluru,2026-08-04,3085,Delayed
ORD1137,hyd,2026-06-22,4044,Cancelled
ORD1138,Vijayawada,2026-08-06,4113,Delivered
ORD1139,Hyderabad,2026-07-31,4067,Delayed
ORD1140,hyd,2026-07-15,462,Cancelled
ORD1141,Vizag,2026-07-21,704,Cancelled
ORD1142,Vizag,2026-06-12,2913,Delivered
ORD1143,hyd,2026-08-28,341,Cancelled
ORD1144,banglore,2026-07-04,1156,Cancelled
ORD1145,hyd,2026-07-06,229,Delivered
ORD1146,banglore,2026-07-09,3948,Cancelled
ORD1147,Hyderabad,2026-06-18,4072,Delayed
ORD1148,Vizag,2026-08-22,4298,Cancelled
ORD1149,HYD,2026-07-25,1312,Delayed
ORD1150,hyd,2026-07-26,1216,Delayed
ORD1151,Vizag,2026-07-23,3986,Cancelled
ORD1152,Hyderabad,2026-06-02,1045,Cancelled
ORD1153,Vizag,2026-06-15,873,Delivered
ORD1154,Bengaluru,2026-08-03,4336,Delayed
ORD1155,Bengaluru,2026-06-13,4962,Cancelled
ORD1156,HYD,2026-07-06,1827,Cancelled
ORD1157,banglore,2026-07-24,4657,Delayed
ORD1158,Vizag,2026-06-29,1707,Delivered
ORD1159,Bengaluru,2026-08-19,4843,Delivered
ORD1160,banglore,2026-08-02,4731,Cancelled
ORD1161,Vijayawada,2026-08-18,1227,Cancelled
ORD1162,Vizag,2026-08-13,3889,Delivered
ORD1163,banglore,2026-07-17,4808,Delayed
ORD1164,Vizag,2026-07-31,2147,Delivered
ORD1165,hyd,2026-06-17,4087,Delayed
ORD1166,Vizag,2026-06-30,540,Delayed
ORD1167,HYD,2026-07-29,860,Delayed
ORD1168,hyd,2026-08-16,3893,Delivered
ORD1169,banglore,2026-08-07,4362,Cancelled
ORD1170,hyd,2026-07-25,605,Cancelled
ORD1171,banglore,2026-06-03,2443,Delayed
ORD1172,Hyderabad,2026-07-01,1915,Delivered
ORD1173,hyd,2026-06-29,3733,Delivered
ORD1174,hyd,2026-06-03,587,Delivered
ORD1175,Vizag,2026-08-02,4301,Delayed
ORD1176,Vijayawada,2026-08-21,214,Cancelled
ORD1177,Bengaluru,2026-07-13,642,Delivered
ORD1178,Bengaluru,2026-06-28,3457,Delayed
ORD1179,Bengaluru,2026-07-10,453,Delayed
ORD1180,HYD,2026-07-22,3759,Cancelled
ORD1181,Vizag,2026-07-04,3524,Cancelled
ORD1182,Bengaluru,2026-07-12,1763,Delayed
ORD1183,Vizag,2026-07-31,1006,Delivered
ORD1184,Vijayawada,2026-07-13,2971,Delivered
ORD1185,banglore,2026-08-02,2584,Delayed
ORD1186,Hyderabad,2026-06-20,3922,Delayed
ORD1187,HYD,2026-06-25,3608,Cancelled
ORD1188,HYD,2026-06-01,1371,Cancelled
ORD1189,Vijayawada,2026-06-13,3723,Delayed
ORD1190,Vijayawada,2026-07-19,3912,Cancelled
ORD1191,Vizag,2026-06-02,4236,Delivered
ORD1192,HYD,2026-08-01,1750,Delivered
ORD1193,banglore,2026-07-21,892,Delayed
ORD1194,Hyderabad,2026-06-01,4490,Delayed
ORD1195,Hyderabad,2026-08-23,468,Delayed
ORD1196,HYD,2026-06-20,2699,Delayed
ORD1197,Vizag,2026-08-06,783,Cancelled
ORD1198,HYD,2026-07-31,2139,Cancelled
ORD1199,hyd,2026-08-19,1630,Cancelled
ORD1200,banglore,2026-08-30,4436,Delayed
ORD1201,Hyderabad,2026-08-19,4691,Delayed
ORD1202,Hyderabad,2026-08-29,782,Delayed
ORD1203,hyd,2026-06-01,891,Delivered
ORD1204,banglore,2026-08-28,567,Delivered
ORD1205,Vizag,2026-07-11,3950,Cancelled
ORD1206,Vijayawada,2026-08-25,650,Delivered
ORD1207,Vizag,2026-07-24,4569,Delivered
ORD1208,Hyderabad,2026-07-11,3358,Delayed
ORD1209,Hyderabad,2026-07-21,955,Delayed
ORD1210,Vijayawada,2026-07-11,704,Cancelled
ORD1211,Vizag,2026-08-10,1095,Cancelled
ORD1212,banglore,2026-06-16,2789,Delayed
ORD1213,hyd,2026-08-11,1012,Cancelled
ORD1214,HYD,2026-08-26,4121,Delivered
ORD1215,Vijayawada,2026-07-05,4659,Delivered
ORD1216,Vijayawada,2026-06-07,3500,Delayed
ORD1217,Hyderabad,2026-07-03,473,Cancelled
ORD1218,Vijayawada,2026-08-07,2904,Delivered
ORD1219,Vizag,2026-06-10,1503,Delayed
ORD1220,Vijayawada,2026-06-15,4692,Cancelled
ORD1221,banglore,2026-06-22,1732,Delivered
ORD1222,Hyderabad,2026-08-22,3049,Delayed
ORD1223,HYD,2026-07-13,4101,Delayed
ORD1224,Vizag,2026-07-31,4438,Delayed
ORD1225,Vijayawada,2026-06-02,2915,Delayed
ORD1226,Hyderabad,2026-07-12,3383,Cancelled
ORD1227,HYD,2026-06-07,4897,Cancelled
ORD1228,banglore,2026-06-18,3292,Cancelled
ORD1229,Bengaluru,2026-08-28,1161,Delivered
ORD1230,Hyderabad,2026-08-11,1199,Cancelled
ORD1231,hyd,2026-08-03,522,Delivered
ORD1232,HYD,2026-08-21,1709,Delivered
ORD1233,Vizag,2026-06-05,4758,Delayed
ORD1234,banglore,2026-06-06,650,Cancelled
ORD1235,banglore,2026-08-10,1648,Delivered
ORD1236,hyd,2026-06-14,2228,Cancelled
ORD1237,Vijayawada,2026-08-19,882,Delivered
ORD1238,Hyderabad,2026-07-02,474,Cancelled
ORD1239,hyd,2026-08-13,3865,Delayed
ORD1240,Vizag,2026-06-16,346,Cancelled
ORD1241,hyd,2026-06-12,4122,Cancelled
ORD1242,Hyderabad,2026-06-03,4596,Delayed
ORD1243,Vizag,2026-07-10,4793,Cancelled
ORD1244,banglore,2026-08-20,3408,Cancelled
ORD1245,Vijayawada,2026-08-15,3087,Delivered
ORD1246,Vizag,2026-08-22,1916,Cancelled
ORD1247,Hyderabad,2026-07-24,1443,Cancelled
ORD1248,Vizag,2026-07-07,4095,Delayed
ORD1249,Vijayawada,2026-08-05,4051,Delayed
ORD1250,Hyderabad,2026-08-05,4929,Cancelled
ORD1251,hyd,2026-07-01,1615,Delivered
ORD1252,Bengaluru,2026-06-23,4725,Cancelled
ORD1253,HYD,2026-08-01,1383,Cancelled
ORD1254,Hyderabad,2026-06-16,4900,Delayed
ORD1255,HYD,2026-06-19,240,Cancelled
ORD1256,Hyderabad,2026-08-03,4322,Cancelled
ORD1257,banglore,2026-06-08,2035,Delayed
ORD1258,hyd,2026-08-11,569,Delivered
ORD1259,Hyderabad,2026-06-26,3770,Cancelled
ORD1260,Hyderabad,2026-07-18,1947,Delayed
ORD1261,Vizag,2026-06-24,316,Delayed
ORD1262,Bengaluru,2026-08-27,347,Delayed
ORD1263,Vijayawada,2026-07-03,3159,Cancelled
ORD1264,Hyderabad,2026-08-07,939,Delayed
ORD1265,Vizag,2026-07-14,3434,Delivered
ORD1266,banglore,2026-07-26,2193,Cancelled
ORD1267,hyd,2026-08-13,2873,Delayed
ORD1268,Vizag,2026-08-08,2704,Delivered
ORD1269,Vizag,2026-08-25,4238,Delivered
ORD1270,Hyderabad,2026-07-19,3318,Delayed
ORD1271,banglore,2026-07-29,4542,Cancelled
ORD1272,hyd,2026-06-05,1350,Delivered
ORD1273,Vijayawada,2026-08-25,3136,Cancelled
ORD1274,banglore,2026-08-05,4510,Delayed
ORD1275,Vijayawada,2026-07-27,3115,Delivered
ORD1276,hyd,2026-06-28,334,Delayed
ORD1277,banglore,2026-07-10,646,Delivered
ORD1278,HYD,2026-06-03,1842,Delivered
ORD1279,banglore,2026-08-04,1936,Delayed
ORD1280,hyd,2026-07-03,1942,Cancelled
ORD1281,HYD,2026-06-07,1877,Cancelled
ORD1282,Bengaluru,2026-07-04,3672,Cancelled
ORD1283,Vijayawada,2026-07-27,2982,Delivered
ORD1284,banglore,2026-06-25,1888,Delivered
ORD1285,HYD,2026-07-13,4292,Cancelled
ORD1286,HYD,2026-06-09,852,Delivered
ORD1287,Vijayawada,2026-07-22,4968,Cancelled
ORD1288,Vijayawada,2026-08-08,1294,Cancelled
ORD1289,hyd,2026-06-27,2387,Cancelled
ORD1290,HYD,2026-07-15,4639,Delayed
ORD1291,Hyderabad,2026-08-02,1102,Delivered
ORD1292,banglore,2026-07-31,2424,Cancelled
ORD1293,Vijayawada,2026-07-30,3356,Cancelled
ORD1294,Bengaluru,2026-08-16,2688,Cancelled
ORD1295,hyd,2026-07-03,3132,Delayed
ORD1296,hyd,2026-07-15,1878,Delivered
ORD1297,Vizag,2026-07-31,2994,Delayed
ORD1298,hyd,2026-06-28,1522,Cancelled
ORD1299,Vizag,2026-07-11,3627,Delivered
ORD1300,banglore,2026-06-28,1703,Delayed
ORD1301,hyd,2026-07-10,2786,Delayed
ORD1302,Vizag,2026-08-21,701,Delayed
ORD1303,Vizag,2026-07-20,606,Cancelled
ORD1304,Hyderabad,2026-08-17,4308,Delayed
ORD1305,Hyderabad,2026-08-03,1088,Delivered
ORD1306,Vizag,2026-06-03,999,Cancelled
ORD1307,Vizag,2026-07-01,2254,Cancelled
ORD1308,banglore,2026-07-16,2712,Delayed
ORD1309,banglore,2026-07-22,3467,Delivered
ORD1310,Hyderabad,2026-07-22,3088,Delayed
ORD1311,HYD,2026-06-27,4794,Cancelled
ORD1312,Bengaluru,2026-07-30,4915,Delivered
ORD1313,HYD,2026-08-04,3042,Cancelled
ORD1314,Bengaluru,2026-08-14,4862,Cancelled
ORD1315,hyd,2026-07-20,3615,Cancelled
ORD1316,hyd,2026-07-03,1461,Delivered
ORD1317,Bengaluru,2026-06-25,4160,Delivered
ORD1318,Vizag,2026-06-14,4081,Delayed
ORD1319,hyd,2026-07-18,4282,Cancelled
ORD1320,Vizag,2026-07-10,960,Delayed
ORD1321,Bengaluru,2026-08-27,4155,Delivered
ORD1322,Vijayawada,2026-08-12,2783,Delivered
ORD1323,Vijayawada,2026-08-24,3432,Delivered
ORD1324,hyd,2026-06-26,3840,Delivered
ORD1325,banglore,2026-07-10,2985,Cancelled
ORD1326,HYD,2026-08-26,3081,Delayed
ORD1327,banglore,2026-07-12,1714,Delivered
ORD1328,Vizag,2026-06-07,3469,Delayed
ORD1329,Vijayawada,2026-08-01,1187,Delivered
ORD1330,banglore,2026-06-05,2174,Cancelled
ORD1331,Vijayawada,2026-06-26,858,Delayed
ORD1332,hyd,2026-08-26,4795,Cancelled
ORD1333,banglore,2026-07-09,4961,Delivered
ORD1334,HYD,2026-07-07,4737,Delivered
ORD1335,Vizag,2026-07-13,2027,Delayed
ORD1336,Vijayawada,2026-08-16,1055,Delivered
ORD1337,Hyderabad,2026-07-20,3814,Delayed
ORD1338,HYD,2026-06-13,3838,Cancelled
ORD1339,Bengaluru,2026-08-16,1625,Delivered
ORD1340,HYD,2026-07-02,1571,Delayed
ORD1341,Vizag,2026-07-02,1428,Delivered
ORD1342,HYD,2026-06-28,4267,Cancelled
ORD1343,banglore,2026-06-24,3206,Delivered
ORD1344,Hyderabad,2026-07-22,1023,Delayed
ORD1345,HYD,2026-08-20,4333,Delivered
ORD1346,Vizag,2026-07-25,2141,Delivered
ORD1347,Vizag,2026-08-29,3193,Delivered
ORD1348,Hyderabad,2026-07-04,3017,Delivered
ORD1349,HYD,2026-08-19,1560,Delayed
ORD1350,HYD,2026-07-06,4749,Delayed
ORD1351,Vijayawada,2026-07-20,3461,Delayed
ORD1352,Bengaluru,2026-08-05,4681,Delayed
ORD1353,Vizag,2026-08-09,3340,Cancelled
ORD1354,Bengaluru,2026-06-22,529,Cancelled
ORD1355,HYD,2026-07-28,610,Cancelled
ORD1356,Bengaluru,2026-07-16,1555,Cancelled
ORD1357,HYD,2026-08-28,4352,Delayed
ORD1358,hyd,2026-08-19,4939,Delayed
ORD1359,hyd,2026-07-23,4649,Delayed
ORD1360,hyd,2026-08-03,3088,Delivered
ORD1361,Vizag,2026-06-14,4329,Cancelled
ORD1362,hyd,2026-07-27,1363,Cancelled
ORD1363,Hyderabad,2026-07-16,3038,Delivered
ORD1364,HYD,2026-08-12,1002,Cancelled
ORD1365,Vizag,2026-07-27,2557,Delayed
ORD1366,hyd,2026-07-18,2970,Cancelled
ORD1367,Bengaluru,2026-07-09,3827,Cancelled
ORD1368,hyd,2026-06-10,4958,Cancelled
ORD1369,hyd,2026-07-12,2464,Delayed
ORD1370,Vijayawada,2026-08-06,4032,Cancelled
ORD1371,HYD,2026-07-26,3806,Delayed
ORD1372,Vizag,2026-07-03,577,Cancelled
ORD1373,Vizag,2026-08-09,2482,Cancelled
ORD1374,Vijayawada,2026-07-21,918,Delayed
ORD1375,banglore,2026-07-19,3963,Delivered
ORD1376,Vijayawada,2026-08-06,3639,Delayed
ORD1377,Hyderabad,2026-07-12,1575,Cancelled
ORD1378,Vizag,2026-07-31,2040,Delivered
ORD1379,HYD,2026-07-17,4936,Delayed
ORD1380,Vijayawada,2026-06-18,4977,Cancelled
ORD1381,hyd,2026-06-13,3371,Delivered
ORD1382,HYD,2026-08-12,4362,Delayed
ORD1383,Vizag,2026-06-20,4640,Delayed
ORD1384,Bengaluru,2026-08-21,4018,Cancelled
ORD1385,Vizag,2026-06-20,2321,Cancelled
ORD1386,Vizag,2026-07-03,2688,Cancelled
ORD1387,HYD,2026-06-19,3810,Cancelled
ORD1388,banglore,2026-06-12,677,Delayed
ORD1389,Vizag,2026-07-08,2273,Cancelled
ORD1390,Vijayawada,2026-06-05,553,Cancelled
ORD1391,Vizag,2026-06-21,2183,Delayed
ORD1392,hyd,2026-06-07,1359,Cancelled
ORD1393,Vizag,2026-07-23,2721,Cancelled
ORD1394,Vijayawada,2026-08-10,449,Delayed
ORD1395,Bengaluru,2026-06-25,4517,Delivered
ORD1396,banglore,2026-08-30,3460,Cancelled
ORD1397,HYD,2026-06-23,2906,Delivered
ORD1398,hyd,2026-07-06,4663,Cancelled
ORD1399,banglore,2026-08-28,2798,Delayed
ORD1400,Vizag,2026-08-22,2469,Delayed
ORD1401,Vizag,2026-08-26,706,Delayed
ORD1402,Vijayawada,2026-07-31,4264,Cancelled
ORD1403,Vizag,2026-07-10,3026,Delayed
ORD1404,Vijayawada,2026-07-28,2518,Delivered
ORD1405,HYD,2026-07-09,2031,Delayed
ORD1406,Vizag,2026-07-10,2706,Delivered
ORD1407,HYD,2026-08-13,3806,Cancelled
ORD1408,hyd,2026-08-21,4417,Delayed
ORD1409,Vizag,2026-07-02,4634,Cancelled
ORD1410,Vijayawada,2026-08-30,2622,Delayed
ORD1411,HYD,2026-07-16,2305,Cancelled
ORD1412,HYD,2026-07-01,2390,Delivered
ORD1413,Hyderabad,2026-07-21,1476,Delivered
ORD1414,hyd,2026-08-19,935,Delivered
ORD1415,Bengaluru,2026-07-01,1448,Cancelled
ORD1416,Vizag,2026-07-03,1150,Delivered
ORD1417,Bengaluru,2026-07-17,1337,Delayed
ORD1418,HYD,2026-08-26,2138,Delivered
ORD1419,Vizag,2026-06-29,4990,Delivered
ORD1420,Bengaluru,2026-07-31,2361,Delayed
ORD1421,banglore,2026-07-04,3104,Delivered
ORD1422,Vijayawada,2026-06-11,4697,Delivered
ORD1423,Vijayawada,2026-07-07,2372,Delayed
ORD1424,banglore,2026-07-20,4213,Delayed
ORD1425,Vizag,2026-08-02,1461,Delivered
ORD1426,HYD,2026-07-31,1477,Delivered
ORD1427,Bengaluru,2026-07-29,2418,Delayed
ORD1428,Vijayawada,2026-06-26,1528,Delivered
ORD1429,HYD,2026-06-28,1059,Delivered
ORD1430,Vizag,2026-08-23,4756,Delivered
ORD1431,banglore,2026-07-18,2284,Delayed
ORD1432,Hyderabad,2026-08-07,3533,Cancelled
ORD1433,Bengaluru,2026-08-05,917,Delivered
ORD1434,Vijayawada,2026-08-04,3136,Delayed
ORD1435,hyd,2026-07-22,3695,Delivered
ORD1436,HYD,2026-07-01,3796,Delivered
ORD1437,hyd,2026-06-12,293,Cancelled
ORD1438,Vizag,2026-08-22,1288,Delayed
ORD1439,HYD,2026-07-15,2646,Cancelled
ORD1440,Bengaluru,2026-07-10,1860,Cancelled
ORD1441,Vijayawada,2026-07-07,3323,Delivered
ORD1442,Vijayawada,2026-06-24,1745,Delayed
ORD1443,Vijayawada,2026-07-16,2859,Delivered
ORD1444,banglore,2026-08-23,991,Cancelled
ORD1445,Vizag,2026-07-02,3916,Delivered
ORD1446,Vijayawada,2026-08-23,1263,Delivered
ORD1447,Bengaluru,2026-07-18,1128,Delayed
ORD1448,Vizag,2026-08-30,3335,Delayed
ORD1449,Vizag,2026-07-12,2614,Cancelled
ORD1450,banglore,2026-07-17,2942,Delivered
ORD1451,HYD,2026-06-13,2007,Cancelled
ORD1452,Vizag,2026-07-11,4762,Cancelled
ORD1453,Hyderabad,2026-07-06,3898,Delivered
ORD1454,banglore,2026-07-26,3304,Delivered
ORD1455,Bengaluru,2026-07-25,3283,Cancelled
ORD1456,Hyderabad,2026-08-22,1242,Cancelled
ORD1457,Vijayawada,2026-07-11,502,Delayed
ORD1458,hyd,2026-06-07,2357,Delivered
ORD1459,banglore,2026-07-13,3874,Delivered
ORD1460,Vijayawada,2026-07-10,4503,Delivered
ORD1461,Vijayawada,2026-08-17,1868,Delayed
ORD1462,banglore,2026-07-21,252,Cancelled
ORD1463,hyd,2026-07-19,3815,Delayed
ORD1464,Hyderabad,2026-08-11,339,Delivered
ORD1465,Vizag,2026-06-25,2924,Delivered
ORD1466,banglore,2026-08-04,4380,Delivered
ORD1467,HYD,2026-07-15,684,Cancelled
ORD1468,Bengaluru,2026-07-12,3781,Cancelled
ORD1469,Vizag,2026-07-29,1264,Cancelled
ORD1470,banglore,2026-07-02,2639,Cancelled
ORD1471,HYD,2026-07-02,4758,Delivered
ORD1472,HYD,2026-06-08,396,Cancelled
ORD1473,hyd,2026-06-18,2702,Delivered
ORD1474,hyd,2026-07-16,393,Delayed
ORD1475,hyd,2026-08-25,4861,Delivered
ORD1476,hyd,2026-07-28,3481,Delivered
ORD1477,HYD,2026-08-05,2312,Cancelled
ORD1478,banglore,2026-08-30,2795,Delivered
ORD1479,Vijayawada,2026-06-23,4807,Cancelled
ORD1480,HYD,2026-06-08,3385,Cancelled
ORD1481,banglore,2026-08-09,696,Cancelled
ORD1482,Vijayawada,2026-06-10,361,Delayed
ORD1483,Bengaluru,2026-08-23,3859,Delayed
ORD1484,banglore,2026-06-10,876,Cancelled
ORD1485,hyd,2026-06-21,2496,Delivered
ORD1486,banglore,2026-07-26,2302,Delayed
ORD1487,Vizag,2026-08-02,4102,Delivered
ORD1488,Bengaluru,2026-08-03,1572,Delayed
ORD1489,hyd,2026-08-20,2342,Delayed
ORD1490,Hyderabad,2026-07-27,3978,Cancelled
ORD1491,hyd,2026-07-24,3078,Cancelled
ORD1492,Vizag,2026-06-13,3826,Delivered
ORD1493,Vijayawada,2026-08-10,1209,Cancelled
ORD1494,Vijayawada,2026-07-12,4470,Cancelled
ORD1495,HYD,2026-07-06,3365,Delayed
ORD1496,hyd,2026-07-19,509,Delayed
ORD1497,Vijayawada,2026-06-29,4587,Cancelled
ORD1498,Hyderabad,2026-07-03,3944,Delivered
ORD1499,banglore,2026-07-16,4569,Cancelled
ORD1500,banglore,2026-07-11,1700,Delayed
ORD1501,HYD,2026-08-06,2983,Delivered
ORD1502,Vijayawada,2026-08-16,3601,Cancelled
ORD1503,Vizag,2026-06-28,734,Delivered
ORD1504,banglore,2026-07-23,4527,Delayed
ORD1505,hyd,2026-07-20,3152,Cancelled
ORD1506,Bengaluru,2026-07-13,2968,Delayed
ORD1507,Vijayawada,2026-08-30,2311,Delivered
ORD1508,hyd,2026-07-18,1263,Delayed
ORD1509,Vijayawada,2026-06-19,420,Delivered
ORD1510,hyd,2026-08-16,3053,Delayed
ORD1511,HYD,2026-06-10,1127,Cancelled
ORD1512,Vijayawada,2026-06-06,3255,Delayed
ORD1513,HYD,2026-08-20,1903,Cancelled
ORD1514,Hyderabad,2026-06-23,1918,Delayed
ORD1515,hyd,2026-06-27,1119,Cancelled
ORD1516,Hyderabad,2026-08-14,978,Delivered
ORD1517,banglore,2026-07-14,4824,Delivered
ORD1518,HYD,2026-07-01,4395,Delivered
ORD1519,HYD,2026-08-20,4336,Cancelled
ORD1520,Hyderabad,2026-08-17,542,Delayed
ORD1521,Vizag,2026-07-01,2431,Cancelled
ORD1522,hyd,2026-07-24,4220,Cancelled
ORD1523,banglore,2026-08-26,1432,Delayed
ORD1524,Bengaluru,2026-06-15,3072,Delayed
ORD1525,Vijayawada,2026-06-04,1599,Delivered
